Disease,Symptoms
Gallstones,"sudden and intense pain in the upper right part of the stomach, nausea, and vomiting"
Pancreatitis,"severe stomach pain that radiates to the back, nausea, and vomiting"
Psoriasis,"red, itchy, scaly patches on the skin, often on the elbows, knees, scalp, and back"
Eczema,"itchy, red, dry, and cracked skin"
Rosacea,"facial redness, bumps, and visible blood vessels on the face"
Acne,"pimples, blackheads, whiteheads, and cysts on the face, chest, or back"
Alopecia Areata,patchy hair loss on the scalp or body
Vitiligo,white patches on the skin due to loss of color
Moles,"small, dark spots on the skin that can be flat or raised"
Skin Cancer,"a new or changing mole or skin spot that is asymmetrical, has an irregular border, or changes in color or size"
Common Cold,"runny or stuffy nose, sneezing, scratchy or sore throat, coughing, feeling tired, mild headache"
Influenza (Flu),"sudden high fever, body aches and muscle pain, chills, feeling very tired, cough, sore throat, runny or stuffy nose"
Strep Throat,"very sore throat that starts quickly, pain when swallowing, fever, tiny red spots on the back of the roof of the mouth"
Chickenpox,"a very itchy rash with small, fluid-filled blisters that crust over, fever, feeling tired, headache, loss of appetite"
Pink Eye (Conjunctivitis),"redness in one or both eyes, itchiness, a gritty feeling, a watery or thick discharge that can glue your eyelids shut"
Mononucleosis (Mono),"extreme fatigue, sore throat, fever, swollen glands in your neck and armpits, swollen tonsils, headache, body aches"
Pneumonia,"a cough that produces phlegm, fever, chills, shortness of breath, chest pain, feeling very weak or tired"
Urinary Tract Infection (UTI),"a strong urge to pee that doesn't go away, a burning feeling when you pee, peeing often in small amounts, cloudy or strong-smelling pee"
Migraine,"a throbbing headache, usually on one side of the head, sensitivity to light and sound, nausea or vomiting, visual changes"
Allergic Rhinitis (Hay Fever),"sneezing, runny or stuffy nose, watery or itchy eyes, itching in the nose, roof of the mouth or throat"
Gastroenteritis (Stomach Flu),"watery, non-bloody diarrhea, stomach cramps and pain, nausea, vomiting, mild fever"
Athlete's Foot,"itchy, scaly rash, usually between the toes, sometimes with blisters and sores"
Bronchitis,"a hacking cough, often with phlegm, chest discomfort, shortness of breath, mild fever, feeling tired"
Sinusitis (Sinus Infection),"stuffy nose, thick nasal discharge, pain or pressure around your eyes, cheeks, nose, or forehead, reduced sense of smell and taste"
Food Poisoning,"upset stomach, stomach cramps, watery diarrhea, vomiting, nausea"
Allergies,"eye irritation, runny nose, stuffy nose, puffy/watery eyes, sneezing, itchy nose/throat, hives, skin rashes, stomach pain, vomiting"
Tension Headache,"a constant, dull ache on both sides of the head, a feeling of squeezing or pressure"
E. Coli,"severe stomach cramps, watery or bloody diarrhea, nausea, vomiting, mild fever"
Ebola,"sudden fever, severe headache, joint and muscle pain, fatigue, diarrhea, vomiting, stomach pain"
Fibromyalgia,"widespread pain and tenderness, extreme fatigue, sleep problems, trouble with memory and concentration, headaches"
Genital Herpes,"sores or blisters on the genitals, itching, pain, and a burning feeling when you pee"
Asthma,"shortness of breath, coughing, wheezing, chest tightness"
Chronic Obstructive Pulmonary Disease (COPD),"shortness of breath, a persistent cough that produces a lot of phlegm, wheezing, and chest tightness"
Depression,"persistent sadness, feeling hopeless, loss of interest in things you once enjoyed, changes in appetite or sleep, feeling tired or having low energy"
Arthritis,"pain, stiffness, swelling, and redness in the joints, reduced ability to move the joint"
Hypertension (High Blood Pressure),"often has no symptoms, but can lead to headaches, shortness of breath, or nosebleeds in severe cases"
High Cholesterol,"no obvious symptoms; can lead to chest pain, heart attack, or stroke in later stages"
Anxiety Disorders,"excessive worry or fear, restlessness, feeling on edge, trouble concentrating, irritability, muscle tension, difficulty sleeping"
Bipolar Disorder,extreme mood swings that include emotional highs (mania or hypomania) and lows (depression)
Schizophrenia,"hallucinations (seeing or hearing things that aren't there), delusions (false beliefs), disorganized thinking or speech"
Eating Disorders,"severe concerns about body weight and shape, eating very little, eating a lot and then getting rid of the food by vomiting or other means"
Post-Traumatic Stress Disorder (PTSD),"flashbacks, nightmares, severe anxiety, and uncontrollable thoughts about a past traumatic event"
Obsessive-Compulsive Disorder (OCD),unwanted thoughts (obsessions) that lead to repetitive behaviors (compulsions)
Cerebral Palsy,"problems with muscle tone, movement, and posture; can include stiff muscles, weak muscles, or shaky movements"
Chronic Fatigue Syndrome,"extreme and lasting fatigue that doesn't get better with rest, memory problems, muscle or joint pain, and swollen lymph nodes"
Cystic Fibrosis,"a persistent cough with a lot of phlegm, frequent lung infections, wheezing or shortness of breath, and poor growth"
Diabetes,"frequent urination, increased thirst, unexplained weight loss, fatigue, blurry vision, slow-healing sores"
Endometriosis,"very painful periods, pain during sex, heavy bleeding, pain with bowel movements or urination"
Epilepsy,"unprovoked seizures, which can involve convulsions, staring spells, or brief loss of consciousness"
Gout,"sudden, severe attacks of pain, swelling, redness, and tenderness in one or more joints, often the big toe"
Irritable Bowel Syndrome (IBS),"stomach pain, bloating, gas, diarrhea, or constipation"
Lupus,"joint pain, fever, fatigue, rash on the face that often looks like a butterfly"
Multiple Sclerosis (MS),"numbness or weakness in one or more limbs, vision loss, tingling, or pain"
Parkinson's Disease,"tremors, slow movement, stiffness, and balance problems"
Psoriasis,"red, itchy, scaly patches on the skin, often on the elbows, knees, scalp, and back"
Sickle Cell Anemia,"anemia, episodes of severe pain in the body (pain crises), fatigue, and frequent infections"
Stroke,"numbness or weakness on one side of the face or body, slurred speech, vision problems, and confusion"
Chronic Kidney Disease,"fatigue, swelling in ankles and feet, loss of appetite, and changes in how often you pee"
Heart Disease,"chest pain, shortness of breath, fatigue, and swelling in the legs"
Obesity,"excess body fat, difficulty with physical activity, and shortness of breath"
Osteoporosis,"no symptoms until a bone breaks, but can lead to a stooped posture and back pain"
Type 2 Diabetes,"frequent urination, increased thirst, fatigue, and blurry vision"
Alzheimer's Disease,"memory loss, difficulty with daily tasks, confusion, and changes in mood"
Cataracts,"blurry vision, difficulty with night vision, and seeing halos around lights"
Glaucoma,"gradual loss of side (peripheral) vision, eye pain, and seeing halos around lights"
Macular Degeneration,"blurry central vision, distorted vision, and difficulty seeing fine details"
Hearing Loss,"difficulty hearing, ringing in the ears (tinnitus), and needing others to speak louder"
Gastroesophageal Reflux Disease (GERD),"a burning feeling in the chest (heartburn), regurgitation, and chest pain"
Ulcerative Colitis,"bloody diarrhea, abdominal pain, fatigue, and weight loss"
Crohn's Disease,"abdominal pain, severe diarrhea, fever, and weight loss"
Celiac Disease,"diarrhea, abdominal pain, bloating, and weight loss after eating foods with gluten"
Appendicitis,"sudden pain in the lower right abdomen, nausea, vomiting, and fever"
Kidney Stones,"severe pain in the side and back below the ribs, pain with urination, and blood in the urine"
Hepatitis,"yellowing of the skin and eyes (jaundice), fatigue, nausea, and abdominal pain"
Cirrhosis,"fatigue, weakness, weight loss, and yellowing of the skin (jaundice)"
Tetanus,"jaw cramping, muscle spasms, and difficulty swallowing"
Rabies,"fever, headache, hallucinations, and aggression"
Lyme Disease,"a ""bull's-eye"" rash, fever, headache, and body aches"
Shingles,"a painful rash with blisters, fever, headache, and fatigue"
Meningitis,"stiff neck, high fever, severe headache, and confusion"
MRSA,"a painful, red, swollen sore that may look like a spider bite or boil"
Eczema,"itchy, red, dry, and cracked skin"
Rosacea,"facial redness, bumps, and visible blood vessels on the face"
Acne,"pimples, blackheads, whiteheads, and cysts on the face, chest, or back"
Alopecia Areata,patchy hair loss on the scalp or body
Vitiligo,white patches on the skin due to loss of color
Hypothyroidism,"fatigue, weight gain, feeling cold, dry skin, and constipation"
Hyperthyroidism,"weight loss, rapid heartbeat, nervousness, sweating, and feeling hot all the time"
Anemia,"fatigue, pale skin, shortness of breath, and feeling dizzy or lightheaded"
Sleep Apnea,"loud snoring, gasping for air during sleep, and feeling very tired during the day"
Chronic Pain,"pain that lasts for months or years, which can be mild or severe"
Vertigo,"a spinning sensation, dizziness, and a feeling of unsteadiness"
Hemorrhoids,"pain, itching, and swelling around the rectum, sometimes with bleeding"
Diverticulitis,"severe abdominal pain, fever, nausea, and a change in bowel habits"
Ankylosing Spondylitis,"back pain and stiffness, especially in the morning, which gets better with exercise"
Sjogren's Syndrome,"dry eyes and a dry mouth, as well as joint pain and fatigue"
Polycystic Ovary Syndrome (PCOS),"irregular periods, excess body hair, and weight gain"
Restless Legs Syndrome (RLS),"an irresistible urge to move your legs, often with unpleasant sensations, especially at night"
Narcolepsy,excessive daytime sleepiness and sudden sleep attacks
Multiple Myeloma,"bone pain, fatigue, frequent infections, and weight loss"
Leukemia,"fatigue, fever, frequent infections, easy bruising, and weight loss"
Lymphoma,"swollen lymph nodes (glands), fever, night sweats, and weight loss"
Huntington's Disease,"uncontrolled movements, mood swings, and memory loss"
Muscular Dystrophy,progressive weakness and loss of muscle mass
Down Syndrome,"developmental delays and physical features, such as a flat facial profile and an upward slant to the eyes"
Fragile X Syndrome,"intellectual disability, anxiety, and social and behavioral problems"
Turner Syndrome,short height and failure of the ovaries to develop
Dengue Fever,"high fever, severe headache, muscle and joint pain, and a skin rash"
Malaria,"fever, chills, sweating, headaches, and muscle aches"
Zika Virus,"fever, rash, joint pain, and red eyes"
Chikungunya,"fever, severe joint pain, muscle pain, and headache"
Measles,"high fever, runny nose, cough, and a rash of tiny red spots"
Mumps,"swollen salivary glands, fever, headache, and muscle aches"
Rubella (German Measles),"a rash of small pink or red spots, low-grade fever, and swollen glands behind the ears"
Whooping Cough (Pertussis),"severe coughing fits that sound like a ""whoop,"" a runny nose, and fever"
Polio,"paralysis, muscle weakness, fever, and a sore throat"
Tuberculosis (TB),"a persistent cough that can bring up blood, chest pain, fever, night sweats, and weight loss"
Scleroderma,"thickening and hardening of the skin, joint pain, and muscle weakness"
Graves' Disease,"weight loss, anxiety, rapid heartbeat, and bulging eyes"
Addison's Disease,"extreme fatigue, weight loss, low blood pressure, and darkened skin"
Rheumatoid Arthritis,"painful, swollen, and stiff joints, fatigue, and fever"
Osteoarthritis,"joint pain, stiffness, and swelling that gets worse with activity"
Myasthenia Gravis,muscle weakness that gets worse with activity and better with rest
ALS (Lou Gehrig's Disease),"progressive muscle weakness, twitching, and stiffness"
Guillain-Barré Syndrome,weakness and tingling in your feet and legs that spreads upward to your upper body and arms
Spina Bifida,"a birth defect where the spinal cord doesn't develop correctly, leading to nerve damage and paralysis"
Tourette's Syndrome,"repetitive, involuntary movements or sounds called tics"
Bell's Palsy,"sudden, temporary weakness or paralysis of the facial muscles, causing one side of the face to droop"
Carpal Tunnel Syndrome,"numbness, tingling, or weakness in the hand and wrist"
Rotator Cuff Tendinitis,dull ache in the shoulder that worsens when you lift your arm or lie on it
Bursitis,"joint pain and swelling, often in the shoulder, elbow, or hip"
Sciatica,"pain that starts in the lower back and travels down the leg, caused by a pinched nerve"
Plantar Fasciitis,"stabbing pain in the bottom of the foot, near the heel, especially in the morning"
Sprained Ankle,"pain, swelling, and bruising in the ankle after an injury"
Shin Splints,"pain in the front of the lower leg, along the shin bone"
Concussion,"a temporary loss of brain function due to a head injury, causing headache, dizziness, and confusion"
Chronic Traumatic Encephalopathy (CTE),"memory loss, confusion, and changes in behavior due to repeated head injuries"
Post-Concussion Syndrome,"a collection of symptoms, like headaches and dizziness, that last for weeks or months after a concussion"
Brain Aneurysm,"a sudden, severe headache, blurry vision, and a stiff neck"
Encephalitis,"fever, headache, confusion, and seizures, caused by inflammation of the brain"
Sepsis,"fever, rapid heart rate, confusion, and shortness of breath, caused by the body's extreme response to an infection"
Septic Shock,a severe drop in blood pressure and organ failure due to sepsis
Toxic Shock Syndrome (TSS),"high fever, rash, low blood pressure, and vomiting"
Scarlet Fever,"a red rash that feels like sandpaper, sore throat, and a high fever"
Impetigo,"red sores on the face, hands, and feet that ooze and form a yellowish-brown crust"
Cellulitis,"a red, swollen, and painful area of skin that feels hot to the touch"
Pityriasis Rosea,"a large, scaly pink patch on the chest or back, followed by smaller patches"
Ringworm,"a ring-shaped, itchy, red rash on the skin"
Scabies,an extremely itchy rash caused by tiny mites burrowing into the skin
Lice,an itchy scalp with tiny white or yellowish specks (nits) on the hair shafts
Thrush (Oral),"white, creamy patches on the tongue and inside the mouth"
Vaginal Yeast Infection,"itching, burning, and a thick, white discharge from the vagina"
Candidiasis,"itching and a rash on the skin, often in moist areas like the groin or armpits"
Hantavirus,"fever, muscle aches, fatigue, and shortness of breath"
Rocky Mountain Spotted Fever,"fever, headache, and a rash that starts on the wrists and ankles and spreads to the rest of the body"
West Nile Virus,"fever, headache, body aches, and a skin rash"
Avian Flu (Bird Flu),"fever, cough, and shortness of breath"
Swine Flu (H1N1),"fever, cough, sore throat, and body aches"
Giardiasis,"watery, foul-smelling diarrhea, stomach cramps, bloating, and gas"
Cryptosporidiosis,"watery diarrhea, stomach cramps, nausea, and vomiting"
Hookworm,"an itchy rash where the worm entered the skin, followed by stomach pain, diarrhea, and a cough"
Roundworm,"cough, shortness of breath, and stomach pain"
Pinworm,"itching around the anus, especially at night"
Tapeworm,"stomach pain, nausea, loss of appetite, and weight loss"
Schistosomiasis,"a rash and itchy skin where the parasite entered, followed by fever, chills, and muscle aches"
Leishmaniasis,"skin sores that can turn into ulcers, or fever, weight loss, and an enlarged spleen"
Filariasis,"swelling in the legs, arms, and scrotum (elephantiasis)"
Onchocerciasis (River Blindness),"severe itching, skin rashes, and vision problems that can lead to blindness"
Human Papillomavirus (HPV),"warts on the genitals, hands, or feet, or no symptoms at all"
Human Immunodeficiency Virus (HIV),"fever, sore throat, fatigue, and swollen lymph nodes in the early stages"
Acquired Immunodeficiency Syndrome (AIDS),"a weakened immune system, leading to frequent infections, weight loss, and fatigue"
Herpes Zoster (Shingles),"a painful rash with blisters on one side of the body, fever, and headache"
Varicella (Chickenpox),"itchy red spots all over the body, fever, and fatigue"
Rubella (German Measles),"a rash of small pink or red spots, low-grade fever, and swollen glands behind the ears"
Smallpox,"a high fever, body aches, and a rash of deep-seated blisters that leave scars"
Typhus,"high fever, headache, muscle aches, and a rash on the chest and back"
Cholera,"severe watery diarrhea, vomiting, and dehydration"
Yellow Fever,"fever, headache, muscle aches, and vomiting, followed by yellowing of the skin and eyes"
Botulism,"muscle weakness, blurred or double vision, and difficulty speaking or swallowing"
Anthrax,"fever, cough, shortness of breath, and a skin sore with a black center"
Brucellosis,"fever, chills, sweating, and joint and muscle pain"
Q Fever,"high fever, severe headache, muscle aches, and cough"
Tularemia (Rabbit Fever),"fever, fatigue, swollen lymph nodes, and a skin ulcer where the bacteria entered"
Plague,"fever, chills, weakness, and swollen, painful lymph nodes (buboes)"
Legionnaires' Disease,"high fever, cough, shortness of breath, and chest pain"
Polycystic Kidney Disease (PKD),"high blood pressure, back or side pain, and frequent urinary tract infections"
Kidney Failure,"fatigue, shortness of breath, swelling in the legs and feet, and changes in how often you pee"
Bladder Cancer,"blood in the urine, pain during urination, and frequent urination"
Prostate Cancer,"difficulty peeing, a weak or interrupted urine stream, and blood in the urine or semen"
Testicular Cancer,"a lump or swelling in the testicle, a feeling of heaviness in the scrotum, and a dull ache in the groin"
Breast Cancer,"a lump or mass in the breast, a change in breast size or shape, and dimpling of the skin"
Colorectal Cancer,"a change in bowel habits, blood in the stool, stomach pain, and weight loss"
Lung Cancer,"a persistent cough that worsens over time, chest pain, and shortness of breath"
Pancreatic Cancer,"stomach pain that radiates to the back, weight loss, and yellowing of the skin and eyes"
Liver Cancer,"weight loss, fatigue, stomach pain, and yellowing of the skin and eyes"
Ovarian Cancer,"bloating, stomach pain, feeling full quickly, and a change in bowel habits"
Uterine Cancer,"unusual vaginal bleeding or discharge, and pelvic pain or pressure"
Cervical Cancer,"unusual vaginal bleeding, pain during sex, and pelvic pain"
Melanoma,"a new or changing mole or skin spot that is asymmetrical, has an irregular border, or changes in color or size"
Basal Cell Carcinoma,"a pearly or waxy bump on the skin, a flat, flesh-colored or brown scar-like lesion"
Squamous Cell Carcinoma,"a firm, red nodule or a flat lesion with a scaly, crusted surface"
Multiple Sclerosis (MS),"numbness or weakness in one or more limbs, vision loss, tingling, or pain"
Amyotrophic Lateral Sclerosis (ALS),"progressive muscle weakness, twitching, and stiffness"
Spinal Muscular Atrophy (SMA),"muscle weakness and wasting, especially in the shoulders, hips, and thighs"
Myasthenia Gravis,muscle weakness that gets worse with activity and better with rest
Duchenne Muscular Dystrophy (DMD),"muscle weakness and wasting in the legs and hips, a waddling gait, and difficulty standing up"
Marfan Syndrome,"long arms, legs, and fingers, a curved spine, and a sunken or protruding chest"
Ehlers-Danlos Syndrome (EDS),"very flexible joints, stretchy skin, and a tendency to bruise easily"
Osteogenesis Imperfecta (Brittle Bone Disease),"fragile bones that break easily, blue sclera (whites of the eyes), and a curved spine"
Cystic Fibrosis,"a persistent cough with a lot of phlegm, frequent lung infections, wheezing, and poor growth"
Sickle Cell Anemia,"episodes of severe pain in the body (pain crises), fatigue, and frequent infections"
Thalassemia,"fatigue, pale skin, slow growth, and an enlarged spleen"
Hemophilia,prolonged bleeding after an injury and easy bruising
Huntington's Disease,"uncontrolled movements, mood swings, and memory loss"
Rett Syndrome,"small hands and feet, a small head, and repetitive hand movements"
Autism Spectrum Disorder (ASD),"difficulty with social interaction, repetitive behaviors, and limited interests"
Attention-Deficit/Hyperactivity Disorder (ADHD),"difficulty paying attention, being overly active, and acting impulsively"
Dyslexia,"difficulty reading, writing, and spelling"
Narcolepsy,excessive daytime sleepiness and sudden sleep attacks
Obstructive Sleep Apnea (OSA),"loud snoring, gasping for air during sleep, and feeling very tired during the day"
Insomnia,"difficulty falling asleep or staying asleep, and feeling tired during the day"
Sleepwalking (Somnambulism),"walking or doing other activities while asleep, and not remembering it in the morning"
Night Terrors,"screaming and thrashing during sleep, and not remembering it in the morning"
Restless Legs Syndrome (RLS),"an irresistible urge to move your legs, often with unpleasant sensations, especially at night"
Chronic Pain Syndrome,"widespread pain that lasts for months or years, which can be mild or severe"
Fibromyalgia,"widespread pain and tenderness, extreme fatigue, sleep problems, and trouble with memory"
Chronic Fatigue Syndrome,"extreme and lasting fatigue that doesn't get better with rest, memory problems, muscle or joint pain, and swollen lymph nodes"
Irritable Bowel Syndrome (IBS),"stomach pain, bloating, gas, diarrhea, or constipation"
Gastroesophageal Reflux Disease (GERD),"a burning feeling in the chest (heartburn), regurgitation, and chest pain"
Crohn's Disease,"abdominal pain, severe diarrhea, fever, and weight loss"
Ulcerative Colitis,"bloody diarrhea, abdominal pain, fatigue, and weight loss"
Diverticulitis,"severe abdominal pain, fever, nausea, and a change in bowel habits"
Hemorrhoids,"pain, itching, and swelling around the rectum, sometimes with bleeding"
Celiac Disease,"diarrhea, abdominal pain, bloating, and weight loss after eating foods with gluten"
Appendicitis,"sudden pain in the lower right abdomen, nausea, vomiting, and fever"
Cirrhosis,"fatigue, weakness, weight loss, and yellowing of the skin (jaundice)"
Hepatitis,"yellowing of the skin and eyes (jaundice), fatigue, nausea, and abdominal pain"
Gallstones,"sudden and intense pain in the upper right part of the stomach, nausea, and vomiting"
Pancreatitis,"severe stomach pain that radiates to the back, nausea, and vomiting"
Psoriasis,"red, itchy, scaly patches on the skin, often on the elbows, knees, scalp, and back"
Eczema,"itchy, red, dry, and cracked skin"
Rosacea,"facial redness, bumps, and visible blood vessels on the face"
Acne,"pimples, blackheads, whiteheads, and cysts on the face, chest, or back"
Alopecia Areata,patchy hair loss on the scalp or body
Vitiligo,white patches on the skin due to loss of color
Moles,"small, dark spots on the skin that can be flat or raised"
Skin Cancer,"a new or changing mole or skin spot that is asymmetrical, has an irregular border, or changes in color or size"
Common Cold,"runny or stuffy nose, sneezing, scratchy or sore throat, coughing, feeling tired, mild headache"
Influenza (Flu),"sudden high fever, body aches and muscle pain, chills, feeling very tired, cough, sore throat, runny or stuffy nose"
Strep Throat,"very sore throat that starts quickly, pain when swallowing, fever, tiny red spots on the back of the roof of the mouth"
Chickenpox,"a very itchy rash with small, fluid-filled blisters that crust over, fever, feeling tired, headache, loss of appetite"
Pink Eye (Conjunctivitis),"redness in one or both eyes, itchiness, a gritty feeling, a watery or thick discharge that can glue your eyelids shut"
Mononucleosis (Mono),"extreme fatigue, sore throat, fever, swollen glands in your neck and armpits, swollen tonsils, headache, body aches"
Pneumonia,"a cough that produces phlegm, fever, chills, shortness of breath, chest pain, feeling very weak or tired"
Urinary Tract Infection (UTI),"a strong urge to pee that doesn't go away, a burning feeling when you pee, peeing often in small amounts, cloudy or strong-smelling pee"
Migraine,"a throbbing headache, usually on one side of the head, sensitivity to light and sound, nausea or vomiting, visual changes"
Allergic Rhinitis (Hay Fever),"sneezing, runny or stuffy nose, watery or itchy eyes, itching in the nose, roof of the mouth or throat"
Gastroenteritis (Stomach Flu),"watery, non-bloody diarrhea, stomach cramps and pain, nausea, vomiting, mild fever"
Athlete's Foot,"itchy, scaly rash, usually between the toes, sometimes with blisters and sores"
Bronchitis,"a hacking cough, often with phlegm, chest discomfort, shortness of breath, mild fever, feeling tired"
Sinusitis (Sinus Infection),"stuffy nose, thick nasal discharge, pain or pressure around your eyes, cheeks, nose, or forehead, reduced sense of smell and taste"
Food Poisoning,"upset stomach, stomach cramps, watery diarrhea, vomiting, nausea"
Allergies,"eye irritation, runny nose, stuffy nose, puffy/watery eyes, sneezing, itchy nose/throat, hives, skin rashes, stomach pain, vomiting"
Tension Headache,"a constant, dull ache on both sides of the head, a feeling of squeezing or pressure"
E. Coli,"severe stomach cramps, watery or bloody diarrhea, nausea, vomiting, mild fever"
Ebola,"sudden fever, severe headache, joint and muscle pain, fatigue, diarrhea, vomiting, stomach pain"
Fibromyalgia,"widespread pain and tenderness, extreme fatigue, sleep problems, trouble with memory and concentration, headaches"
Genital Herpes,"sores or blisters on the genitals, itching, pain, and a burning feeling when you pee"
Asthma,"shortness of breath, coughing, wheezing, chest tightness"
Chronic Obstructive Pulmonary Disease (COPD),"shortness of breath, a persistent cough that produces a lot of phlegm, wheezing, and chest tightness"
Depression,"persistent sadness, feeling hopeless, loss of interest in things you once enjoyed, changes in appetite or sleep, feeling tired or having low energy"
Arthritis,"pain, stiffness, swelling, and redness in the joints, reduced ability to move the joint"
Hypertension (High Blood Pressure),"often has no symptoms, but can lead to headaches, shortness of breath, or nosebleeds in severe cases"
High Cholesterol,"no obvious symptoms; can lead to chest pain, heart attack, or stroke in later stages"
Anxiety Disorders,"excessive worry or fear, restlessness, feeling on edge, trouble concentrating, irritability, muscle tension, difficulty sleeping"
Bipolar Disorder,extreme mood swings that include emotional highs (mania or hypomania) and lows (depression)
Schizophrenia,"hallucinations (seeing or hearing things that aren't there), delusions (false beliefs), disorganized thinking or speech"
Eating Disorders,"severe concerns about body weight and shape, eating very little, eating a lot and then getting rid of the food by vomiting or other means"
Post-Traumatic Stress Disorder (PTSD),"flashbacks, nightmares, severe anxiety, and uncontrollable thoughts about a past traumatic event"
Obsessive-Compulsive Disorder (OCD),unwanted thoughts (obsessions) that lead to repetitive behaviors (compulsions)
Cerebral Palsy,"problems with muscle tone, movement, and posture; can include stiff muscles, weak muscles, or shaky movements"
Chronic Fatigue Syndrome,"extreme and lasting fatigue that doesn't get better with rest, memory problems, muscle or joint pain, and swollen lymph nodes"
Cystic Fibrosis,"a persistent cough with a lot of phlegm, frequent lung infections, wheezing or shortness of breath, and poor growth"
Diabetes,"frequent urination, increased thirst, unexplained weight loss, fatigue, blurry vision, slow-healing sores"
Endometriosis,"very painful periods, pain during sex, heavy bleeding, pain with bowel movements or urination"
Epilepsy,"unprovoked seizures, which can involve convulsions, staring spells, or brief loss of consciousness"
Gout,"sudden, severe attacks of pain, swelling, redness, and tenderness in one or more joints, often the big toe"
Irritable Bowel Syndrome (IBS),"stomach pain, bloating, gas, diarrhea, or constipation"
Lupus,"joint pain, fever, fatigue, rash on the face that often looks like a butterfly"
Multiple Sclerosis (MS),"numbness or weakness in one or more limbs, vision loss, tingling, or pain"
Parkinson's Disease,"tremors, slow movement, stiffness, and balance problems"
Psoriasis,"red, itchy, scaly patches on the skin, often on the elbows, knees, scalp, and back"
Sickle Cell Anemia,"anemia, episodes of severe pain in the body (pain crises), fatigue, and frequent infections"
Stroke,"numbness or weakness on one side of the face or body, slurred speech, vision problems, and confusion"
Chronic Kidney Disease,"fatigue, swelling in ankles and feet, loss of appetite, and changes in how often you pee"
Heart Disease,"chest pain, shortness of breath, fatigue, and swelling in the legs"
Obesity,"excess body fat, difficulty with physical activity, and shortness of breath"
Osteoporosis,"no symptoms until a bone breaks, but can lead to a stooped posture and back pain"
Type 2 Diabetes,"frequent urination, increased thirst, fatigue, and blurry vision"
Alzheimer's Disease,"memory loss, difficulty with daily tasks, confusion, and changes in mood"
Cataracts,"blurry vision, difficulty with night vision, and seeing halos around lights"
Glaucoma,"gradual loss of side (peripheral) vision, eye pain, and seeing halos around lights"
Macular Degeneration,"blurry central vision, distorted vision, and difficulty seeing fine details"
Hearing Loss,"difficulty hearing, ringing in the ears (tinnitus), and needing others to speak louder"
Gastroesophageal Reflux Disease (GERD),"a burning feeling in the chest (heartburn), regurgitation, and chest pain"
Ulcerative Colitis,"bloody diarrhea, abdominal pain, fatigue, and weight loss"
Crohn's Disease,"abdominal pain, severe diarrhea, fever, and weight loss"
Celiac Disease,"diarrhea, abdominal pain, bloating, and weight loss after eating foods with gluten"
Appendicitis,"sudden pain in the lower right abdomen, nausea, vomiting, and fever"
Kidney Stones,"severe pain in the side and back below the ribs, pain with urination, and blood in the urine"
Hepatitis,"yellowing of the skin and eyes (jaundice), fatigue, nausea, and abdominal pain"
Cirrhosis,"fatigue, weakness, weight loss, and yellowing of the skin (jaundice)"
Tetanus,"jaw cramping, muscle spasms, and difficulty swallowing"
Rabies,"fever, headache, hallucinations, and aggression"
Lyme Disease,"a ""bull's-eye"" rash, fever, headache, and body aches"
Shingles,"a painful rash with blisters, fever, headache, and fatigue"
Meningitis,"stiff neck, high fever, severe headache, and confusion"
MRSA,"a painful, red, swollen sore that may look like a spider bite or boil"
Eczema,"itchy, red, dry, and cracked skin"
Rosacea,"facial redness, bumps, and visible blood vessels on the face"
Acne,"pimples, blackheads, whiteheads, and cysts on the face, chest, or back"
Alopecia Areata,patchy hair loss on the scalp or body
Vitiligo,white patches on the skin due to loss of color
Hypothyroidism,"fatigue, weight gain, feeling cold, dry skin, and constipation"
Hyperthyroidism,"weight loss, rapid heartbeat, nervousness, sweating, and feeling hot all the time"
Anemia,"fatigue, pale skin, shortness of breath, and feeling dizzy or lightheaded"
Sleep Apnea,"loud snoring, gasping for air during sleep, and feeling very tired during the day"
Chronic Pain,"pain that lasts for months or years, which can be mild or severe"
Vertigo,"a spinning sensation, dizziness, and a feeling of unsteadiness"
Hemorrhoids,"pain, itching, and swelling around the rectum, sometimes with bleeding"
Diverticulitis,"severe abdominal pain, fever, nausea, and a change in bowel habits"
Ankylosing Spondylitis,"back pain and stiffness, especially in the morning, which gets better with exercise"
Sjogren's Syndrome,"dry eyes and a dry mouth, as well as joint pain and fatigue"
Polycystic Ovary Syndrome (PCOS),"irregular periods, excess body hair, and weight gain"
Restless Legs Syndrome (RLS),"an irresistible urge to move your legs, often with unpleasant sensations, especially at night"
Narcolepsy,excessive daytime sleepiness and sudden sleep attacks
Multiple Myeloma,"bone pain, fatigue, frequent infections, and weight loss"
Leukemia,"fatigue, fever, frequent infections, easy bruising, and weight loss"
Lymphoma,"swollen lymph nodes (glands), fever, night sweats, and weight loss"
Huntington's Disease,"uncontrolled movements, mood swings, and memory loss"
Muscular Dystrophy,progressive weakness and loss of muscle mass
Down Syndrome,"developmental delays and physical features, such as a flat facial profile and an upward slant to the eyes"
Fragile X Syndrome,"intellectual disability, anxiety, and social and behavioral problems"
Turner Syndrome,short height and failure of the ovaries to develop
Dengue Fever,"high fever, severe headache, muscle and joint pain, and a skin rash"
Malaria,"fever, chills, sweating, headaches, and muscle aches"
Zika Virus,"fever, rash, joint pain, and red eyes"
Chikungunya,"fever, severe joint pain, muscle pain, and headache"
